discipline,PhD,service,sex,salary,New_col
B,56,49.0,Male,186960.0,98.0
A,12,6.0,Male,93000.0,12.0
A,23,20.0,Male,110515.0,40.0
A,40,31.0,Male,131205.0,62.0
B,20,15.012987012987013,Male,104800.0,62.0
A,20,20.0,Male,122400.0,40.0
A,20,17.0,Male,81285.0,34.0
A,18,18.0,Male,126300.0,36.0
A,29,19.0,Male,94350.0,38.0
A,51,51.0,Male,57800.0,102.0
B,39,33.0,Male,128250.0,66.0
B,23,23.0,Male,134778.0,46.0
B,1,0.0,Male,88000.0,0.0
B,35,33.0,Male,88000.0,66.0
B,25,19.0,Male,153750.0,38.0
B,17,3.0,Male,150480.0,6.0
B,8,3.0,Male,75044.0,6.0
B,4,0.0,Male,92000.0,0.0
A,19,7.0,Male,107300.0,14.0
A,29,27.0,Male,150500.0,54.0
B,4,4.0,Male,92000.0,8.0
A,33,30.0,Male,103106.0,60.0
A,4,2.0,Male,73000.0,4.0
A,2,0.0,Male,85000.0,0.0
A,30,23.0,Male,91100.0,46.0
B,35,31.0,Male,99418.0,62.0
A,38,19.0,Male,148750.0,38.0
A,45,43.0,Male,155865.0,86.0
B,7,2.0,Male,91300.0,4.0
B,21,20.0,Male,123683.0,40.0
B,9,7.0,Male,107008.0,14.0
B,22,21.0,Male,155750.0,42.0
A,27,19.0,Male,103275.0,38.0
B,18,18.0,Male,120000.0,36.0
B,12,8.0,Male,119800.0,16.0
B,28,23.0,Male,126933.0,46.0
B,45,45.0,Male,146856.0,90.0
A,20,8.0,Male,102000.0,16.0
B,4,3.0,Male,91000.0,6.0
B,18,18.0,Female,129000.0,36.0
A,39,36.0,Female,137000.0,72.0
A,13,8.0,Female,74830.0,16.0
B,4,2.0,Female,80225.0,4.0
B,5,0.0,Female,77000.0,0.0
B,23,19.0,Female,151768.0,38.0
B,25,25.0,Female,140096.0,50.0
B,11,3.0,Female,74692.0,6.0
B,11,11.0,Female,103613.0,22.0
B,17,17.0,Female,111512.0,34.0
B,17,18.0,Female,122960.0,36.0
B,10,5.0,Female,97032.0,10.0
B,20,14.0,Female,127512.0,28.0
A,12,0.0,Female,105000.0,0.0
A,5,3.0,Female,73500.0,6.0
A,25,22.0,Female,62884.0,44.0
A,2,0.0,Female,72500.0,0.0
A,10,8.0,Female,77500.0,16.0
A,3,1.0,Female,72500.0,2.0
B,36,26.0,Female,144651.0,52.0
B,12,10.0,Female,103994.0,20.0
B,3,3.0,Female,92000.0,6.0
B,13,10.0,Female,103750.0,20.0
B,14,7.0,Female,109650.0,14.0
A,29,27.0,Female,91000.0,54.0
A,26,24.0,Female,73300.0,48.0
A,36,19.0,Female,117555.0,38.0
A,7,6.0,Female,63100.0,12.0
A,17,11.0,Female,90450.0,22.0
A,4,2.0,Female,77500.0,4.0
A,28,7.0,Female,116450.0,14.0
A,8,3.0,Female,78500.0,6.0
B,12,9.0,Female,71065.0,18.0
B,24,15.0,Female,161101.0,30.0
B,18,10.0,Female,105450.0,20.0
B,19,6.0,Female,104542.0,12.0
B,17,17.0,Female,124312.0,34.0
A,28,14.0,Female,109954.0,28.0
A,23,15.0,Female,109646.0,30.0
