Patient_ID,Online_Follower,LinkedIn_Shared,Twitter_Shared,Facebook_Shared,First_Interaction
516956,0,0,0,0,18-Jun-03
507733,0,0,0,0,20-Jul-03
508307,0,0,0,0,02-Nov-02
512612,0,0,0,0,02-Nov-02
521075,0,0,0,0,24-Nov-02
502103,0,0,0,0,06-Apr-03
528501,0,0,0,0,26-Apr-03
519202,0,0,0,0,05-Apr-03
521359,0,0,0,0,10-Apr-03
487977,0,1,1,0,08-Jun-03
518680,0,1,0,0,31-May-03
497120,0,1,0,1,12-Apr-03
528043,0,0,0,0,06-Jul-03
510954,0,0,0,0,04-Jul-03
509188,0,0,0,0,06-Mar-03
511565,0,0,0,0,07-Jul-03
495861,0,0,0,0,06-Jul-03
518080,0,0,0,0,12-Jul-03
488558,1,1,1,0,09-Nov-02
514739,0,0,0,0,08-Jul-03
513231,0,0,0,0,06-Jul-03
515459,0,0,0,0,08-Feb-03
492934,0,0,0,0,06-Apr-03
504923,0,0,0,0,04-Jul-03
521281,0,0,0,0,05-Jul-03
526333,0,0,0,0,06-Jul-03
489594,0,0,0,0,03-Nov-02
499682,0,0,0,0,04-Jul-03
490135,0,0,0,0,02-Jul-03
493258,1,1,0,1,21-Apr-03
518278,0,0,0,0,11-May-03
504568,0,0,0,0,06-Jul-03
504677,0,0,0,0,08-Feb-03
506181,0,1,0,1,07-Feb-03
492765,0,0,0,0,06-Mar-03
509797,0,0,0,0,08-Jul-03
511338,0,0,1,0,06-Mar-03
524857,0,0,0,0,16-Jul-03
504955,0,0,0,0,17-Dec-02
496350,0,1,1,0,09-May-03
525761,0,0,0,0,28-May-03
517875,0,0,0,0,17-Jul-03
503693,0,0,0,0,04-Jul-03
489945,0,0,0,0,25-Dec-02
522870,0,0,0,0,03-Jun-03
507402,0,0,0,0,20-Jun-03
517351,0,0,0,0,08-Feb-03
512302,0,0,0,0,30-Apr-03
493522,0,0,0,0,19-Jul-03
528182,0,0,0,0,06-Mar-03
526542,0,0,0,0,06-Jul-03
520156,0,1,0,0,02-Jul-03
527226,0,0,0,0,26-Jun-03
501825,0,1,0,0,06-Apr-03
504692,0,0,0,0,04-Jul-03
518855,0,1,0,0,04-Jul-03
509843,0,0,0,0,23-Jul-03
495620,0,1,1,1,04-Jul-03
504073,0,0,0,0,06-Jul-03
514992,0,0,0,0,24-Jul-03
517686,0,1,0,0,26-Jun-03
510500,0,0,0,0,04-Apr-03
491040,0,0,0,0,06-Jul-03
487329,0,0,0,0,24-Jul-03
510566,0,0,0,0,06-Jul-03
499844,0,0,0,0,25-Jul-03
491347,0,0,0,0,23-Jul-03
486243,0,0,0,0,23-Jul-03
513947,0,0,0,0,23-Jul-03
496001,0,0,0,0,25-Jul-03
517141,0,0,0,0,06-Jul-03
523430,0,0,0,0,06-Apr-03
492822,0,0,0,0,26-Jul-03
511862,0,0,0,0,04-Jul-03
498743,1,1,1,1,26-Apr-03
498848,0,0,0,0,02-Jul-03
493167,0,0,0,0,29-Nov-02
495152,0,0,0,0,06-Mar-03
517340,0,0,0,0,08-Feb-03
520068,0,0,0,0,06-Aug-03
490642,0,0,0,0,06-Aug-03
501325,0,0,0,0,06-Aug-03
526981,0,0,0,0,06-Aug-03
527513,0,0,0,0,06-Aug-03
506014,0,0,0,0,07-Feb-03
523306,0,0,0,0,05-Aug-03
509795,0,0,0,0,02-Jan-03
507389,0,0,0,0,05-Aug-03
519161,0,1,0,1,05-Aug-03
499647,0,0,0,0,05-Aug-03
487975,0,0,0,0,04-Aug-03
505750,0,0,0,0,31-Jul-03
493295,0,0,0,0,08-Feb-03
517303,0,0,0,0,04-Aug-03
489941,0,0,0,0,06-Mar-03
520198,1,1,0,0,04-Aug-03
505850,0,0,0,0,03-Aug-03
503338,0,0,0,0,20-Jun-03
492367,0,0,0,0,08-Feb-03
502240,0,0,0,0,02-Aug-03
486721,0,0,0,0,02-Aug-03
521547,0,0,0,0,02-Aug-03
487331,0,0,0,0,02-Aug-03
493758,0,0,0,0,02-Aug-03
526703,0,1,1,0,01-Aug-03
506106,0,0,0,0,01-Aug-03
522819,0,0,0,0,01-Aug-03
488417,0,0,0,0,02-Jul-03
507610,0,0,0,0,01-Aug-03
523901,0,0,0,0,01-Aug-03
495956,0,0,0,0,01-Aug-03
520690,0,0,0,0,31-Jul-03
521217,0,0,0,0,31-Jul-03
488877,0,0,0,0,31-Jul-03
522926,0,0,0,0,31-Jul-03
498186,0,0,0,0,31-Jul-03
526474,0,0,0,0,27-Jun-03
522317,0,0,0,0,24-May-03
490389,0,0,0,0,21-Jul-03
505162,0,0,0,0,29-Jul-03
516545,0,0,0,0,26-Jul-03
494593,0,1,0,1,28-Jul-03
498728,0,0,0,0,26-Jul-03
488150,0,0,0,0,26-Jul-03
522323,0,0,0,0,25-Jul-03
496069,0,0,0,0,25-Jul-03
516002,0,0,0,0,06-Mar-03
504363,0,0,0,0,25-Jul-03
509916,0,1,0,0,25-Jul-03
523681,0,0,0,0,24-Jul-03
489161,0,0,0,0,24-Jul-03
496456,0,0,0,0,23-Jul-03
517197,0,0,0,0,22-Jul-03
507855,0,0,0,0,22-Jul-03
503956,0,0,0,1,21-Jul-03
501070,0,0,0,0,20-Jul-03
495765,0,0,0,0,17-Jul-03
504833,0,0,0,0,18-Jul-03
518914,0,0,0,0,17-Jul-03
528016,0,0,0,0,16-Jul-03
509333,1,1,1,0,06-Jul-03
499267,0,0,0,0,31-Jan-03
493677,0,0,0,0,13-Jul-03
520701,0,0,0,0,30-Apr-03
498973,0,0,0,0,09-Jan-03
503148,0,0,0,0,08-Feb-03
509342,0,1,0,0,14-Jul-03
496353,0,0,0,0,13-Jul-03
493930,0,0,0,0,13-Jul-03
513756,0,0,1,1,13-Jul-03
491202,0,0,0,0,12-Jul-03
528205,0,0,0,0,12-Jul-03
514503,0,0,0,0,12-Jul-03
525693,0,0,0,0,03-Jul-03
508709,0,0,0,0,11-Jul-03
491205,0,0,0,0,10-Jul-03
517806,0,0,0,0,09-Jul-03
494101,0,0,0,0,09-Jul-03
521070,0,0,0,0,09-Jul-03
496028,0,0,0,0,09-Jul-03
499028,0,0,0,0,09-Jul-03
524550,0,0,0,0,09-Jul-03
490447,0,0,0,0,09-Jul-03
506349,1,0,1,1,08-Jun-03
506088,0,0,0,0,09-Jul-03
508646,0,0,0,0,09-Jul-03
498537,0,0,0,0,08-Jul-03
517183,0,1,0,1,08-Jul-03
525069,0,0,0,0,26-Jun-03
496599,0,0,0,0,07-Jul-03
498864,0,0,0,0,07-Jul-03
500609,0,0,0,0,07-Jul-03
507772,0,0,0,0,07-Jul-03
527017,1,1,0,0,06-Mar-03
495445,0,0,0,0,07-Jul-03
504261,0,0,0,0,07-Jul-03
510317,0,0,0,0,07-Jul-03
491167,0,0,0,0,07-Jul-03
494064,0,0,0,0,07-Jul-03
509292,0,0,0,0,07-Jul-03
506724,0,0,0,0,07-Jul-03
526725,0,0,0,0,07-Jul-03
514295,0,0,0,0,07-Jul-03
492303,1,1,0,1,07-Jul-03
524768,0,1,0,1,08-Feb-03
527985,0,0,0,0,07-Jul-03
488872,0,0,0,0,08-Feb-03
506255,0,0,0,0,07-Jul-03
521444,0,0,0,0,07-Jul-03
503827,1,0,0,0,07-Jul-03
507607,0,0,0,0,07-Jul-03
507312,0,0,0,0,07-Jul-03
521364,0,0,0,1,04-Jul-03
520058,0,0,0,0,06-Jul-03
518144,0,0,0,0,07-Jul-03
518254,0,0,0,0,07-Jul-03
510965,0,0,0,0,06-Jul-03
511492,0,0,0,0,06-Jul-03
491900,0,0,0,0,08-Feb-03
520192,0,0,0,0,06-Jul-03
495734,0,0,0,0,03-Jun-03
486953,0,0,0,0,06-Jul-03
501506,0,0,0,0,06-Jul-03
504334,0,1,1,0,06-Jul-03
525473,0,0,0,0,06-Jul-03
512504,0,0,0,0,06-Jul-03
502391,0,0,0,0,06-Jul-03
498901,1,1,1,1,06-Jul-03
502714,0,0,0,0,06-Jul-03
515641,0,0,0,0,06-Jul-03
506641,0,0,0,0,17-Mar-03
508714,0,0,0,0,06-Jul-03
486659,0,0,0,0,06-Jul-03
524615,0,0,0,0,06-Jul-03
527275,0,0,0,0,06-Jul-03
512725,0,0,0,0,06-Jul-03
520731,0,0,0,0,06-Jul-03
500595,0,0,0,0,06-Jul-03
524702,0,0,0,0,06-Jul-03
507974,0,0,0,0,04-Jul-03
511708,0,0,0,0,06-Jul-03
512225,0,0,0,0,06-Jul-03
