Vehicle_ID,Failure_1,Failure_2,Failure_3,Failure_4
V001,Brake Pad,Disc Rotor,Suspension Arm,Battery
V002,Alternator,Battery,Headlight,
V003,Brake Pad,Disc Rotor,,
V004,Clutch Plate,Gearbox,Suspension Arm,
V005,Alternator,Starter Motor,Battery,
V006,Brake Pad,Wheel Bearing,Shock Absorber,
V007,Timing Belt,Water Pump,Alternator,
V008,Battery,Starter Motor,Alternator,
V009,Brake Pad,Disc Rotor,Clutch Plate,
V010,Fuel Pump,Injector,Air Filter,
V011,Brake Pad,Suspension Arm,Ball Joint,
V012,Alternator,Headlight,Fuse,
V013,Disc Rotor,Brake Pad,Wheel Cylinder,
V014,Clutch Plate,Gearbox,Fuel Pump,
V015,Battery,Alternator,Ignition Coil,
V016,Shock Absorber,Suspension Arm,Control Arm,
V017,Brake Pad,Disc Rotor,Brake Fluid,
V018,Starter Motor,Alternator,Battery,
V019,Timing Belt,Water Pump,Fan Belt,
V020,Clutch Plate,Gearbox,Flywheel,
